pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.65620,6.74490,AUD,Australiensiska dollar,6.65620,6.74490,6.70055,11:59:59
BRL/SEK,BRL,SEK,1,1.8156,1.9164,BRL,Brasilianska real,1.8156,1.9164,1.8660,11:59:59
CAD/SEK,CAD,SEK,1,6.7923,6.8807,CAD,Kanadensiska dollar,6.7923,6.8807,6.8365,11:59:59
CHF/SEK,CHF,SEK,1,11.98270,12.12200,CHF,Schweiziska franc,11.98270,12.12200,12.05235,11:59:59
CNY/SEK,CNY,SEK,1,1.4141,1.4449,CNY,Kinesiska yuan,1.4141,1.4449,1.4295,11:59:59
CZK/SEK,CZK,SEK,1,0.452640,0.461950,CZK,Tjeckiska koruna,0.452640,0.461950,0.457295,11:59:58
DKK/SEK,DKK,SEK,1,1.4731,1.4897,DKK,Danska kronor,1.4731,1.4897,1.4814,11:59:58
EUR/SEK,EUR,SEK,1,11.0066,11.1402,EUR,Euro,11.0066,11.1402,11.0734,11:59:58
GBP/SEK,GBP,SEK,1,12.8735,13.0213,GBP,Pound sterling,12.8735,13.0213,12.9474,11:59:59
HKD/SEK,HKD,SEK,1,1.2250,1.2496,HKD,Hong Kong dollar,1.2250,1.2496,1.2373,11:59:59
HUF/SEK,HUF,SEK,1,0.0306060,0.0316390,HUF,Ungerska forint,0.0306060,0.0316390,0.0311225,11:59:59
ILS/SEK,ILS,SEK,1,3.1544,3.3130,ILS,Israelska new shekel,3.1544,3.3130,3.2337,11:59:59
INR/SEK,INR,SEK,1,0.09841,0.10507,INR,Indiska rupees,0.09841,0.10507,0.10174,11:59:59
JPY/SEK,JPY,SEK,1,0.059688,0.060722,JPY,Japanska yen,0.059688,0.060722,0.060205,11:59:59
NOK/SEK,NOK,SEK,1,0.9747,0.9895,NOK,Norska kronor,0.9747,0.9895,0.9821,11:59:59
NZD/SEK,NZD,SEK,1,5.47460,5.56370,NZD,Nya Zeeländska dollar,5.47460,5.56370,5.51915,11:59:59
PLN/SEK,PLN,SEK,1,2.54980,2.61150,PLN,Polska zloty,2.54980,2.61150,2.58065,11:59:58
SGD/SEK,SGD,SEK,1,7.45910,7.54260,SGD,Singapore dollar,7.45910,7.54260,7.50085,11:59:59
THB/SEK,THB,SEK,1,0.284800,0.298010,THB,Thailändska baht,0.284800,0.298010,0.291405,11:59:59
TRY/SEK,TRY,SEK,1,0.189790,0.225900,TRY,Turkiska lira,0.189790,0.225900,0.207845,11:59:59
USD/SEK,USD,SEK,1,9.63840,9.77190,USD,Amerikanska dollar,9.63840,9.77190,9.70515,11:59:59
ZAR/SEK,ZAR,SEK,1,0.582090,0.602580,ZAR,Sydafrikanska rand,0.582090,0.602580,0.592335,11:59:59
