updated,country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,change,settlement_price,unit,buy_rate_per_unit,sell_rate_per_unit
03.08.2026 09:01,Norge,NOK/SEK,NOK,SEK,100,0.9937,1.0077,99.37,100.77,0.15,100.07,100.0,0.9937,1.0077
03.08.2026 09:01,USA,USD/SEK,USD,SEK,1,9.4757,9.5817,9.4757,9.5817,-0.0064,9.5287,1.0,9.4757,9.5817
03.08.2026 09:01,Europeiska unionen,EUR/SEK,EUR,SEK,1,10.921,11.046,10.921,11.046,0.0001,10.9835,1.0,10.921,11.046
03.08.2026 09:01,Danmark,DKK/SEK,DKK,SEK,100,1.4616,1.4766,146.16,147.66,0.01,146.91,100.0,1.4616,1.4766
03.08.2026 09:01,Storbritannien,GBP/SEK,GBP,SEK,1,12.7538,12.8998,12.7538,12.8998,-0.0018,12.8268,1.0,12.7538,12.8998
03.08.2026 09:01,Schweiz,CHF/SEK,CHF,SEK,100,11.7178,11.8298,1171.78,1182.98,-5.1,1177.38,100.0,11.7178,11.8298
03.08.2026 09:01,Japan,JPY/SEK,JPY,SEK,100,0.060267999999999995,0.061268,6.0268,6.1268,0.1279,6.0768,100.0,0.060267999999999995,0.061268
03.08.2026 09:01,Arabemirater,AED/SEK,AED,SEK,1,2.5735,2.6175,2.5735,2.6175,-0.0018,2.5955,1.0,2.5735,2.6175
03.08.2026 09:01,Australien,AUD/SEK,AUD,SEK,1,6.6545,6.7395,6.6545,6.7395,-0.0122,6.697,1.0,6.6545,6.7395
03.08.2026 09:01,Bahrain,BHD/SEK,BHD,SEK,1,25.1053,25.5053,25.1053,25.5053,-0.017,25.3053,1.0,25.1053,25.5053
03.08.2026 09:01,Botswana,BWP/SEK,BWP,SEK,1,0.7263,0.7563,0.7263,0.7563,-0.0001,0.7413,1.0,0.7263,0.7563
03.08.2026 09:01,Filippinerna,PHP/SEK,PHP,SEK,100,0.1539,0.1593,15.39,15.93,0.07,15.66,100.0,0.1539,0.1593
03.08.2026 09:01,Hong Kong,HKD/SEK,HKD,SEK,1,1.203,1.227,1.203,1.227,-0.0013,1.215,1.0,1.203,1.227
03.08.2026 09:01,Indien,INR/SEK,INR,SEK,1,0.0979,0.1023,0.0979,0.1023,0.0,0.1001,1.0,0.0979,0.1023
03.08.2026 09:01,Indonesien,IDR/SEK,IDR,SEK,100,0.000518,0.000542,0.0518,0.0542,0.0001,0.053,100.0,0.000518,0.000542
03.08.2026 09:01,Island,ISK/SEK,ISK,SEK,100,0.076364,0.07896399999999999,7.6364,7.8964,0.0336,7.7664,100.0,0.076364,0.07896399999999999
03.08.2026 09:01,Israel,ILS/SEK,ILS,SEK,1,3.0967,3.1567,3.0967,3.1567,0.0062,3.1267,1.0,3.0967,3.1567
03.08.2026 09:01,Kanada,CAD/SEK,CAD,SEK,1,6.7421,6.8321,6.7421,6.8321,-0.0173,6.7871,1.0,6.7421,6.8321
03.08.2026 09:01,Kenya,KES/SEK,KES,SEK,100,0.072629,0.075629,7.2629,7.5629,-0.0078,7.4129,100.0,0.072629,0.075629
03.08.2026 09:01,Kina,CNH/SEK,CNH,SEK,100,1.3959000000000001,1.4259,139.59,142.59,-0.32,141.09,100.0,1.3959000000000001,1.4259
03.08.2026 09:01,Kina,CNY/SEK,CNY,SEK,100,1.3968,1.4268,139.68,142.68,-0.25,141.18,100.0,1.3968,1.4268
03.08.2026 09:01,Kuwait,KWD/SEK,KWD,SEK,1,30.8188,31.3188,30.8188,31.3188,-0.0209,31.0688,1.0,30.8188,31.3188
03.08.2026 09:01,Marocko,MAD/SEK,MAD,SEK,100,1.0028,1.0468000000000002,100.28,104.68,0.53,102.48,100.0,1.0028,1.0468000000000002
03.08.2026 09:01,Mexiko,MXN/SEK,MXN,SEK,100,0.5435,0.5575,54.35,55.75,0.0,55.05,100.0,0.5435,0.5575
03.08.2026 09:01,Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5589,5.6409,5.5589,5.6409,0.0004,5.5999,1.0,5.5589,5.6409
03.08.2026 09:01,Oman,OMR/SEK,OMR,SEK,1,24.58,24.98,24.58,24.98,-0.02,24.78,1.0,24.58,24.98
03.08.2026 09:01,Pakistan,PKR/SEK,PKR,SEK,1,0.0336,0.0352,0.0336,0.0352,0.0,0.0344,1.0,0.0336,0.0352
03.08.2026 09:01,Polen,PLN/SEK,PLN,SEK,100,2.5302000000000002,2.5751999999999997,253.02,257.52,0.33,255.27,100.0,2.5302000000000002,2.5751999999999997
