insref,instrument_name,pair,base_currency,quote_currency,last_rate,bid_rate,ask_rate
926,EUR/SEK Spot,EUR/SEK,EUR,SEK,10.7736,10.7716,10.7755
150,USD/SEK Spot,USD/SEK,USD,SEK,9.2414,9.2398,9.2431
72825,GBP/SEK Spot,GBP/SEK,GBP,SEK,12.4334,12.4284,12.4384
117083,JPY/SEK Spot,JPY/SEK,JPY,SEK,5.801,5.796,5.806
72829,CHF/SEK Spot,CHF/SEK,CHF,SEK,11.7807,11.7757,11.7857
72828,NOK/SEK Spot,NOK/SEK,NOK,SEK,0.9961,0.9956,0.9966
72826,DKK/SEK Spot,DKK/SEK,DKK,SEK,1.4419,1.4414,1.4424
51623,CAD/SEK Spot,CAD/SEK,CAD,SEK,6.687,6.682,6.692
117438,AUD/SEK Spot,AUD/SEK,AUD,SEK,6.6038,6.6033,6.6043
117521,NZD/SEK Spot,NZD/SEK,NZD,SEK,5.4543,5.4538,5.4548
