pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0084,11.011,11.0097,926,EUR/SEK Spot,11.0097,11.0084,11.011
USD/SEK,USD,SEK,1,9.6294,9.6323,9.6308,150,USD/SEK Spot,9.6308,9.6294,9.6323
GBP/SEK,GBP,SEK,1,12.9178,12.9278,12.9228,72825,GBP/SEK Spot,12.9228,12.9178,12.9278
JPY/SEK,JPY,SEK,1,5.949,5.959,5.954,117083,JPY/SEK Spot,5.954,5.949,5.959
CHF/SEK,CHF,SEK,1,11.9367,11.9467,11.9417,72829,CHF/SEK Spot,11.9417,11.9367,11.9467
NOK/SEK,NOK,SEK,1,0.9873,0.9883,0.9878,72828,NOK/SEK Spot,0.9878,0.9873,0.9883
DKK/SEK,DKK,SEK,1,1.4724,1.4734,1.4729,72826,DKK/SEK Spot,1.4729,1.4724,1.4734
CAD/SEK,CAD,SEK,1,6.7941,6.8041,6.7991,51623,CAD/SEK Spot,6.7991,6.7941,6.8041
AUD/SEK,AUD,SEK,1,6.6938,6.6948,6.6943,117438,AUD/SEK Spot,6.6943,6.6938,6.6948
NZD/SEK,NZD,SEK,1,5.5587,5.5597,5.5592,117521,NZD/SEK Spot,5.5592,5.5587,5.5597
