currency,sell_rate,buy_rate,sell_timestamp,buy_timestamp
AED,2.5602,2.4913,2026-05-27T07:11:22.966896Z,2026-05-27T07:11:22.966896Z
AUD,6.6955,6.5651,2026-05-27T07:11:22.966999Z,2026-05-27T07:11:22.966999Z
BDT,0.077917,0.073069,2026-05-27T07:11:22.967264Z,2026-05-27T07:11:22.967264Z
BHD,24.9466,24.2687,2026-05-27T07:11:22.982647Z,2026-05-27T07:11:22.982647Z
CAD,6.7805,6.6485,2026-05-27T07:11:22.983048Z,2026-05-27T07:11:22.983048Z
CHF,11.938,11.7053,2026-05-27T07:11:22.972776Z,2026-05-27T07:11:22.972776Z
CNH,1.3867,1.3496,2026-05-27T07:11:22.989504Z,2026-05-27T07:11:22.989504Z
CNY,1.39576,1.34054,2026-05-27T07:11:22.977600Z,2026-05-27T07:11:22.977600Z
CZK,0.44954,0.44051,2026-05-27T07:11:22.966634Z,2026-05-27T07:11:22.966634Z
DKK,1.46032,1.43188,2026-05-27T07:11:22.973322Z,2026-05-27T07:11:22.973322Z
EGP,0.1831,0.1722,2026-05-27T07:11:22.967586Z,2026-05-27T07:11:22.967586Z
EUR,10.9255,10.7127,2026-05-27T06:06:32.199997Z,2026-05-27T06:06:32.199997Z
GBP,12.6041,12.3588,2026-05-27T07:11:22.967930Z,2026-05-27T07:11:22.967930Z
GIP,12.610977,12.351376,2026-05-27T07:11:22.989223Z,2026-05-27T07:11:22.989223Z
HKD,1.20045,1.16832,2026-05-27T07:11:22.966525Z,2026-05-27T07:11:22.966525Z
HUF,0.03071,0.030097,2026-05-27T07:11:22.993671Z,2026-05-27T07:11:22.993671Z
IDR,0.0005322,0.0005109,2026-05-27T07:11:22.977578Z,2026-05-27T07:11:22.977578Z
ILS,3.3179,3.2278,2026-05-27T07:11:22.964216Z,2026-05-27T07:11:22.964216Z
INR,0.09884,0.09494,2026-05-27T07:11:22.972765Z,2026-05-27T07:11:22.972765Z
ISK,0.077,0.0738,2026-05-27T07:11:22.968472Z,2026-05-27T07:11:22.968472Z
JPY,0.058802,0.057658,2026-05-27T07:11:22.974767Z,2026-05-27T07:11:22.974767Z
KES,0.0733,0.0701,2026-05-27T07:11:22.993591Z,2026-05-27T07:11:22.993591Z
KRW,0.006289,0.006063,2026-05-27T07:11:22.995622Z,2026-05-27T07:11:22.995622Z
