pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5925,2.6637,2.6637,2.5925,2026-07-13T10:04:41.040058Z,2026-07-13T10:04:41.040058Z
AUD/SEK,AUD,SEK,1,6.6361,6.7676,6.7676,6.6361,2026-07-13T10:04:41.014481Z,2026-07-13T10:04:41.014481Z
BDT/SEK,BDT,SEK,1,0.075708,0.08088,0.08088,0.075708,2026-07-13T10:04:41.041788Z,2026-07-13T10:04:41.041788Z
BHD/SEK,BHD,SEK,1,25.2534,25.9528,25.9528,25.2534,2026-07-13T10:04:41.050509Z,2026-07-13T10:04:41.050509Z
CAD/SEK,CAD,SEK,1,6.7607,6.8946,6.8946,6.7607,2026-07-13T10:04:41.051485Z,2026-07-13T10:04:41.051485Z
CHF/SEK,CHF,SEK,1,11.8111,12.0452,12.0452,11.8111,2026-07-13T10:04:41.013491Z,2026-07-13T10:04:41.013491Z
CNH/SEK,CNH,SEK,1,1.4048,1.4433,1.4433,1.4048,2026-07-13T10:04:41.086039Z,2026-07-13T10:04:41.086039Z
CNY/SEK,CNY,SEK,1,1.395,1.4531,1.4531,1.395,2026-07-13T10:04:41.040893Z,2026-07-13T10:04:41.040893Z
CZK/SEK,CZK,SEK,1,0.45033,0.45943,0.45943,0.45033,2026-07-13T10:04:41.009972Z,2026-07-13T10:04:41.009972Z
DKK/SEK,DKK,SEK,1,1.46181,1.49081,1.49081,1.46181,2026-07-13T10:04:41.047974Z,2026-07-13T10:04:41.047974Z
EGP/SEK,EGP,SEK,1,0.1864,0.1982,0.1982,0.1864,2026-07-13T10:04:41.018594Z,2026-07-13T10:04:41.018594Z
EUR/SEK,EUR,SEK,1,10.9272,11.1439,11.1439,10.9272,2026-07-13T10:04:41.081102Z,2026-07-13T10:04:41.081102Z
GBP/SEK,GBP,SEK,1,12.8015,13.055,13.055,12.8015,2026-07-13T10:04:41.025808Z,2026-07-13T10:04:41.025808Z
GIP/SEK,GIP,SEK,1,12.794593,13.061933,13.061933,12.794593,2026-07-13T10:04:41.108765Z,2026-07-13T10:04:41.108765Z
HKD/SEK,HKD,SEK,1,1.21482,1.24817,1.24817,1.21482,2026-07-13T10:04:41.017491Z,2026-07-13T10:04:41.017491Z
HUF/SEK,HUF,SEK,1,0.030644,0.031269,0.031269,0.030644,2026-07-13T10:04:41.113180Z,2026-07-13T10:04:41.113180Z
IDR/SEK,IDR,SEK,1,0.0005223,0.000544,0.000544,0.0005223,2026-07-13T10:04:41.057467Z,2026-07-13T10:04:41.057467Z
ILS/SEK,ILS,SEK,1,3.1464,3.2341,3.2341,3.1464,2026-07-13T10:04:41.009305Z,2026-07-13T10:04:41.009305Z
INR/SEK,INR,SEK,1,0.09892,0.10297,0.10297,0.09892,2026-07-13T10:04:41.056447Z,2026-07-13T10:04:41.056447Z
ISK/SEK,ISK,SEK,1,0.0753,0.0786,0.0786,0.0753,2026-07-13T10:04:41.011997Z,2026-07-13T10:04:41.011997Z
JPY/SEK,JPY,SEK,1,0.059001,0.060169,0.060169,0.059001,2026-07-13T10:04:41.050525Z,2026-07-13T10:04:41.050525Z
KES/SEK,KES,SEK,1,0.0731,0.0763,0.0763,0.0731,2026-07-13T10:04:41.058483Z,2026-07-13T10:04:41.058483Z
KRW/SEK,KRW,SEK,1,0.006354,0.006588,0.006588,0.006354,2026-07-13T10:04:41.087497Z,2026-07-13T10:04:41.087497Z
KWD/SEK,KWD,SEK,1,30.7068,31.6048,31.6048,30.7068,2026-07-13T10:04:41.117488Z,2026-07-13T10:04:41.117488Z
KZT/SEK,KZT,SEK,1,0.019925,0.02075,0.02075,0.019925,2026-07-13T10:04:41.100267Z,2026-07-13T10:04:41.100267Z
LKR/SEK,LKR,SEK,1,0.027886,0.029613,0.029613,0.027886,2026-07-13T10:04:41.015479Z,2026-07-13T10:04:41.015479Z
MAD/SEK,MAD,SEK,1,1.016,1.0581,1.0581,1.016,2026-07-13T10:04:41.080264Z,2026-07-13T10:04:41.080264Z
MXN/SEK,MXN,SEK,1,0.5448,0.55979,0.55979,0.5448,2026-07-13T10:04:41.069727Z,2026-07-13T10:04:41.069727Z
MYR/SEK,MYR,SEK,1,2.3455,2.3974,2.3974,2.3455,2026-07-13T10:04:41.059467Z,2026-07-13T10:04:41.059467Z
NOK/SEK,NOK,SEK,1,0.97755,0.99699,0.99699,0.97755,2026-07-13T10:04:41.027509Z,2026-07-13T10:04:41.027509Z
NZD/SEK,NZD,SEK,1,5.5255,5.6353,5.6353,5.5255,2026-07-13T10:04:41.085072Z,2026-07-13T10:04:41.085072Z
PEN/SEK,PEN,SEK,1,2.787033,2.903757,2.903757,2.787033,2026-07-13T10:04:41.085221Z,2026-07-13T10:04:41.085221Z
PHP/SEK,PHP,SEK,1,0.1536,0.16,0.16,0.1536,2026-07-13T10:04:41.009074Z,2026-07-13T10:04:41.009074Z
PKR/SEK,PKR,SEK,1,0.0336,0.0358,0.0358,0.0336,2026-07-13T10:04:41.080507Z,2026-07-13T10:04:41.080507Z
PLN/SEK,PLN,SEK,1,2.52714,2.57742,2.57742,2.52714,2026-07-13T10:04:41.060652Z,2026-07-13T10:04:41.060652Z
QAR/SEK,QAR,SEK,1,2.5946,2.7012,2.7012,2.5946,2026-07-13T10:04:41.101049Z,2026-07-13T10:04:41.101049Z
RON/SEK,RON,SEK,1,2.0876,2.1295,2.1295,2.0876,2026-07-13T10:04:41.051484Z,2026-07-13T10:04:41.051484Z
RSD/SEK,RSD,SEK,1,0.092037,0.096,0.096,0.092037,2026-07-13T10:04:41.108360Z,2026-07-13T10:04:41.108360Z
SAR/SEK,SAR,SEK,1,2.5358,2.6059,2.6059,2.5358,2026-07-13T10:04:41.070480Z,2026-07-13T10:04:41.070480Z
SGD/SEK,SGD,SEK,1,7.3981,7.5447,7.5447,7.3981,2026-07-13T10:04:41.090Z,2026-07-13T10:04:41.090Z
THB/SEK,THB,SEK,1,0.28548,0.29333,0.29333,0.28548,2026-07-13T10:04:41.079453Z,2026-07-13T10:04:41.079453Z
TND/SEK,TND,SEK,1,3.197,3.3414,3.3414,3.197,2026-07-13T10:04:41.048962Z,2026-07-13T10:04:41.048962Z
TRY/SEK,TRY,SEK,1,0.2009,0.2092,0.2092,0.2009,2026-07-13T10:04:41.087564Z,2026-07-13T10:04:41.087564Z
USD/SEK,USD,SEK,1,9.5585,9.7475,9.7475,9.5585,2026-07-13T10:04:41.025816Z,2026-07-13T10:04:41.025816Z
ZAR/SEK,ZAR,SEK,1,0.58445,0.59674,0.59674,0.58445,2026-07-13T10:04:41.008031Z,2026-07-13T10:04:41.008031Z
