country,currency,buy_rate,sell_rate,date
Australien,AUD,6.582,6.662,27/5
Danmark,DKK,1.437555,1.453555,27/5
Euro,EUR,10.73185,10.87185,27/5
Hongkong,HKD,1.1709,1.1971,27/5
Indien,INR,0.093751,0.099951,27/5
Indonesien,IDR,0.000508,0.000541,27/5
Island,ISK,0.075262,0.075602,27/5
Japan,JPY,0.057735,0.058676,27/5
Kanada,CAD,6.6674,6.7535,27/5
Kina,CNY,1.3578,1.3778,27/5
Kroatien,HRK,1.42365,1.443651,11/12
Malaysia,MYR,2.323625,2.353626,27/5
Marocko,MAD,0.9917,1.0263,27/5
Mexiko,MXN,0.529,0.5431,27/5
Norge,NOK,0.998005,1.011005,27/5
Nya Zeeland,NZD,5.4098,5.4918,27/5
Polen,PLN,2.5281,2.5682,27/5
Ryssland,RUB,0.128245,0.132625,27/5
Saudiarabien,SAR,2.4392,2.5034,27/5
Schweiz,CHF,11.75285,11.86485,27/5
Singapore,SGD,7.2267,7.2981,27/5
Storbritannien,GBP,12.4069,12.5469,27/5
Sydafrika,ZAR,0.5581,0.5761,27/5
Sydkorea,KRW,0.006087,0.006259,27/5
Thailand,THB,0.2819,0.2878,27/5
Tjeckien,CZK,0.441705,0.448305,27/5
Turkiet,TRY,0.1676,0.2365,27/5
Ungern,HUF,0.030028,0.030789,27/5
USA,USD,9.2086,9.3437,27/5
