country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6476,6.7277,6.6476,6.7277,30/6
Danmark,DKK/SEK,DKK,SEK,1,1.473815,1.489815,1.473815,1.489815,30/6
Euro,EUR/SEK,EUR,SEK,1,11.00565,11.14565,11.00565,11.14565,30/6
Hongkong,HKD/SEK,HKD,SEK,1,1.2266,1.2529,1.2266,1.2529,30/6
Indien,INR/SEK,INR,SEK,1,0.099517,0.105718,0.099517,0.105718,30/6
Indonesien,IDR/SEK,IDR,SEK,1,0.00053,0.000563,0.00053,0.000563,30/6
Island,ISK/SEK,ISK,SEK,1,0.076743,0.077083,0.076743,0.077083,30/6
Japan,JPY/SEK,JPY,SEK,1,0.059427,0.060367,0.059427,0.060367,30/6
Kanada,CAD/SEK,CAD,SEK,1,6.7897,6.8758,6.7897,6.8758,30/6
Kina,CNY/SEK,CNY,SEK,1,1.4229,1.4429,1.4229,1.4429,30/6
Malaysia,MYR/SEK,MYR,SEK,1,2.371183,2.401184,2.371183,2.401184,30/6
Marocko,MAD/SEK,MAD,SEK,1,1.0163,1.0509,1.0163,1.0509,30/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5494,0.5635,0.5494,0.5635,30/6
Norge,NOK/SEK,NOK,SEK,1,0.97178,0.98478,0.97178,0.98478,30/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4527,5.5348,5.4527,5.5348,30/6
Polen,PLN/SEK,PLN,SEK,1,2.5566,2.5967,2.5566,2.5967,30/6
Ryssland,RUB/SEK,RUB,SEK,1,0.122045,0.126425,0.122045,0.126425,30/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5562,2.6205,2.5562,2.6205,30/6
Schweiz,CHF/SEK,CHF,SEK,1,11.95615,12.06815,11.95615,12.06815,30/6
Singapore,SGD/SEK,SGD,SEK,1,7.473,7.5444,7.473,7.5444,30/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.7918,12.9318,12.7918,12.9318,30/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5833,0.6013,0.5833,0.6013,30/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006197,0.00637,0.006197,0.00637,30/6
Thailand,THB/SEK,THB,SEK,1,0.2898,0.2956,0.2898,0.2956,30/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.453205,0.459805,0.453205,0.459805,30/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1738,0.2426,0.1738,0.2426,30/6
Ungern,HUF/SEK,HUF,SEK,1,0.030793,0.031555,0.030793,0.031555,30/6
USA,USD/SEK,USD,SEK,1,9.655,9.79,9.655,9.79,30/6
