country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6901,6.7896,2026-07-17
Danmark,Dansk krona,DKK,1.4668,1.4886,2026-07-17
Euro,Euro,EUR,10.9653,11.1275,2026-07-17
Hong Kong,Hongkong dollar,HKD,1.2149,1.2461,2026-07-17
Indien,Indisk rupie,INR,0.0975,0.1027,2026-07-17
Japan,Japanskt yen,JPY,0.059,0.0599,2026-07-17
Kanada,Kanadensisk dollar,CAD,6.8253,6.9268,2026-07-17
Kina,Kinesisk yuan,CNY,1.4051,1.4436,2026-07-17
Mexiko,Mexikansk peso,MXN,0.5462,0.5603,2026-07-17
Norge,Norsk krona,NOK,0.9889,1.0038,2026-07-17
Nya Zeeland,Nyzeeländsk dollar,NZD,5.593,5.6768,2026-07-17
Polen,Polsk zloty,PLN,2.5314,2.5696,2026-07-17
Schweiz,Schweizisk franc,CHF,11.8538,12.0299,2026-07-17
Singapore,Singaporiansk dollar,SGD,7.4249,7.5353,2026-07-17
Storbritannien,Brittiskt pund,GBP,12.9029,13.0948,2026-07-17
Sydafrika,Sydafrikansk rand,ZAR,0.5783,0.5932,2026-07-17
Thailand,Thailänsk bath,THB,0.2837,0.2914,2026-07-17
Tjeckien,Tjeckisk krona,CZK,0.4527,0.4596,2026-07-17
Turkiet,Turkisk lira,TRY,0.2017,0.2071,2026-07-17
Ungern,Ungersk forint,HUF,0.0302,0.031,2026-07-17
USA,Amerikansk dollar,USD,9.5765,9.7185,2026-07-17
