country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6603,6.7592,2026-08-05
Danmark,Dansk krona,DKK,1.4592,1.4808,2026-08-05
Euro,Euro,EUR,10.9081,11.0691,2026-08-05
Hong Kong,Hongkong dollar,HKD,1.1987,1.2293,2026-08-05
Indien,Indisk rupie,INR,0.0975,0.1027,2026-08-05
Japan,Japanskt yen,JPY,0.0599,0.0608,2026-08-05
Kanada,Kanadensisk dollar,CAD,6.7209,6.8206,2026-08-05
Kina,Kinesisk yuan,CNY,1.3916,1.43,2026-08-05
Mexiko,Mexikansk peso,MXN,0.5457,0.5597,2026-08-05
Norge,Norsk krona,NOK,0.9927,1.0075,2026-08-05
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5425,5.6255,2026-08-05
Polen,Polsk zloty,PLN,2.531,2.5692,2026-08-05
Schweiz,Schweizisk franc,CHF,11.6801,11.8532,2026-08-05
Singapore,Singaporiansk dollar,SGD,7.3727,7.4822,2026-08-05
Storbritannien,Brittiskt pund,GBP,12.7289,12.9179,2026-08-05
Sydafrika,Sydafrikansk rand,ZAR,0.5731,0.588,2026-08-05
Thailand,Thailänsk bath,THB,0.2831,0.2907,2026-08-05
Tjeckien,Tjeckisk krona,CZK,0.4506,0.4574,2026-08-05
Turkiet,Turkisk lira,TRY,0.1974,0.2026,2026-08-05
Ungern,Ungersk forint,HUF,0.0299,0.0307,2026-08-05
USA,Amerikansk dollar,USD,9.4522,9.5918,2026-08-05
